text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"Firefighters represent the best of America — courageous, selfless, and always answering the call to duty. I'm grate… https://t.co/HN02V4JGD7",FALSE,10174,NA,2020-01-11T01:31:43Z,TRUE,NA,1215808474501844992,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,1787,FALSE,FALSE,NA,NA
Being a nation of immigrants is and has always been one of our greatest strengths. Our diversity has always made us… https://t.co/asjOhdy28P,FALSE,6395,NA,2020-01-11T00:05:00Z,TRUE,NA,1215786650137055234,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,1415,FALSE,FALSE,NA,NA
Make no mistake: the situation with Iran is a crisis of Donald Trump's own making. He brought us to the brink of wa… https://t.co/mEGFYxn28f,FALSE,24587,NA,2020-01-10T21:01:00Z,TRUE,NA,1215740345113141248,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,6518,FALSE,FALSE,NA,NA
"I've released 21 years of my tax returns. Why haven't you released any of yours, Mr. President?

Release your taxes… https://t.co/IAzvDmTjbx",FALSE,34375,NA,2020-01-10T18:35:00Z,TRUE,NA,1215703603098288129,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,7931,FALSE,FALSE,NA,NA
"Donald Trump brought us dangerously close to starting a new war with Iran without any semblance of a plan.

This mo… https://t.co/8POSDYYgko",FALSE,9666,NA,2020-01-10T15:15:00Z,TRUE,NA,1215653271961919489,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,2530,FALSE,FALSE,NA,NA
"I started the Cancer Moonshot so we could be the generation that finally cures cancer.

You then tried to slash nea… https://t.co/ZLTQ1rhxu7",FALSE,39379,NA,2020-01-10T02:16:38Z,TRUE,NA,1215457388825923584,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,9591,FALSE,FALSE,NA,NA
This election is about the soul of America — and a nation that allows our epidemic of school shootings to continue… https://t.co/6UqsjwWcwQ,FALSE,2909,NA,2020-01-09T22:01:00Z,TRUE,NA,1215393056603561984,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,926,FALSE,FALSE,NA,NA
Jill and I would like to send our best wishes to everyone celebrating Kwanzaa. Today is the start to a seven-day re… https://t.co/5LVurmE4Ex,FALSE,11311,NA,2019-12-26T22:04:00Z,TRUE,NA,1210320381502009351,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,1477,FALSE,FALSE,NA,NA
"Donald Trump is cutting food assistance for 700,000 people, but somehow found $1.4 billion for his sham of a border… https://t.co/TId2fQReEs",FALSE,48121,NA,2019-12-26T18:08:29Z,TRUE,NA,1210261112672997378,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,12781,FALSE,FALSE,NA,NA
"When we say Merry Christmas from the entire Biden family, that means even the dogs. https://t.co/PblQHBH792",FALSE,43244,NA,2019-12-25T19:00:00Z,FALSE,NA,1209911690235531264,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,4791,FALSE,FALSE,NA,NA
