,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,scores,compound,comp_score
399,Think of how many small businesses could have been helped with the $47 million that went to private jet companies o… https://t.co/1Y2PwsRjjV,False,35632,,2020-05-22T21:28:00Z,True,,1263944725624578048,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,12156,False,False,,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
400,"We will get through this, and we will come out stronger. I promise. https://t.co/qXIjeMuwbZ",False,12225,,2020-05-22T19:40:00Z,False,,1263917546748514304,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,2760,False,False,,,"{'neg': 0.0, 'neu': 0.692, 'pos': 0.308, 'compound': 0.5994}",0.5994,pos
401,"In announcing the intent to withdraw from the Open Skies Treaty, President Trump has doubled down on his short-sigh… https://t.co/In3yMLqLcU",False,15375,,2020-05-22T19:00:00Z,True,,1263907481216057346,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,4582,False,False,,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
402,"I've said it before, and I'll say it again: No company pulling in billions of dollars in profits should pay a lower… https://t.co/Mc72sIWaQA",False,41641,,2020-05-22T17:40:00Z,True,,1263887347650899970,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,9548,False,False,,,"{'neg': 0.141, 'neu': 0.745, 'pos': 0.114, 'compound': 0.0772}",0.0772,pos
403,Join Andrew Yang to discuss the economic impact of COVID-19. Tune in now: https://t.co/bKZ6bvcfXv,False,3509,,2020-05-22T16:20:05Z,False,,1263867235224834048,,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>",JoeBiden,967,False,False,,,"{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.296}",0.296,pos
404,"In the middle of this crisis, President Trump is trying to cut food assistance. It’s morally bankrupt.

We should d… https://t.co/sSwAXIP60l",False,64264,,2020-05-22T16:00:00Z,True,,1263862182636408833,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",JoeBiden,14731,False,False,,,"{'neg': 0.37, 'neu': 0.63, 'pos': 0.0, 'compound': -0.8904}",-0.8904,neg
405,A president who can't handle a crisis is no president at all. https://t.co/c1vnz3dHsp,False,69992,,2020-05-22T13:52:00Z,False,,1263829969593004034,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,24251,False,False,,,"{'neg': 0.152, 'neu': 0.621, 'pos': 0.227, 'compound': 0.2718}",0.2718,pos
406,"It didn’t have to be this bad. The hard truth is that Donald Trump failed to take action, and it cost American live… https://t.co/p2FlEmZBOP",False,34917,,2020-05-22T01:20:00Z,True,,1263640722571268098,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,12133,False,False,,,"{'neg': 0.284, 'neu': 0.643, 'pos': 0.074, 'compound': -0.7597}",-0.7597,neg
407,"Turns out, it takes more than a tweet to implement a comprehensive national testing strategy. https://t.co/baC59RadI9",False,56838,,2020-05-22T00:19:47Z,False,,1263625569121570819,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JoeBiden,12151,False,False,,,"{'neg': 0.0, 'neu': 0.867, 'pos': 0.133, 'compound': 0.25}",0.25,pos
408,I’m looking forward to joining my friend @StephenAtHome on the @colbertlateshow tonight. Check out some of my favor… https://t.co/PxdAvqCILC,False,10135,,2020-05-21T23:10:00Z,True,,1263608006949797888,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",JoeBiden,2462,False,False,,,"{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.4939}",0.4939,pos
